name|detail_url|address/street|address/city|address/state|address/zip|phone|email_link|website|description
Greenberg Gibbons Properties|//business.lakenormanchamber.org/directory/Details/greenberg-gibbons-properties-2846194|4929 Monroe Street|Charlotte|NC|28205|(843) 469-2517|https://business.lakenormanchamber.org/directory/Contact/Lba3nNkP|http://greenberggibbonsproperties.com/|
Home Clean Heroes of Greater Charlotte|//business.lakenormanchamber.org/directory/Details/home-clean-heroes-of-greater-charlotte-3150320|9700 Research Drive Suite 112|Charlotte|NC|28262|(980) 399-2665|https://business.lakenormanchamber.org/directory/Contact/r4q0X5Gp|http://www.homecleanheroes.com/greatercharlotte|Residential and Cleaning Services
Huntington National Bank|//business.lakenormanchamber.org/directory/Details/huntington-national-bank-3513825|101 South Tryon Street Suite 1810|Charlotte|NC|28280|704-292-5730|https://business.lakenormanchamber.org/directory/Contact/PNvwAM7P|http://www.huntington.com/|
MSC Industrial Supply|//business.lakenormanchamber.org/directory/Details/msc-industrial-supply-1573769|525 Harbour Place Drive|Davidson|NC|28036|(704) 987-5355|https://business.lakenormanchamber.org/directory/Contact/P2JVmaXP|http://www.mscdirect.com/|
POP Marketing Group|//business.lakenormanchamber.org/directory/Details/pop-marketing-group-3045751|441 Windward Dr|Davidson|NC|28036|(415) 298-8061|https://business.lakenormanchamber.org/directory/Contact/p04WaR0p|http://popmarketinggroup.com/|
Proline Parking Lot Maintenance, Inc|//business.lakenormanchamber.org/directory/Details/proline-parking-lot-maintenance-inc-3495144|7473 Hagers Hollow Drive Unit D|Denver|NC|28037|(704) 530-5366|https://business.lakenormanchamber.org/directory/Contact/Lwk9K2DL|http://www.prolineplm.com/|
Wells Fargo Bank|//business.lakenormanchamber.org/directory/Details/wells-fargo-bank-1574055|16810 Kenton Drive Suite 130|Huntersville|NC|28078|(704) 427-0097|https://business.lakenormanchamber.org/directory/Contact/Lb3NbdMr|http://www.wellsfargo.com/|Wells Fargo Bank, N.A.
A&B Tire & Automotive Center|//business.lakenormanchamber.org/directory/Details/a-b-tire-automotive-center-1574035|9213 Westmoreland Road|Cornelius|NC|28031|(704) 895-9990|https://business.lakenormanchamber.org/directory/Contact/Lv53k20P|https://www.abautonc.com/|
Allied Aire, Inc.|//business.lakenormanchamber.org/directory/Details/allied-aire-inc-1573777|18525 Statesville Road, Suite D|Cornelius|NC|28031|(704) 791-8134|https://business.lakenormanchamber.org/directory/Contact/rZRmoy1r|http://www.alliedaire.com/|
Allstate Insurance|//business.lakenormanchamber.org/directory/Details/allstate-insurance-3515716|Stanley|Stanley|NC|28164|(704) 317-4550|https://business.lakenormanchamber.org/directory/Contact/r6wWEKVp|https://agents.allstate.com/lamar-anderson-stanley-nc.html|
AlphaGraphics Lake Norman|//business.lakenormanchamber.org/directory/Details/alphagraphics-lake-norman-1573614|17111 Kenton Drive Suite 103|Cornelius|NC|28031|(704) 896-9622|https://business.lakenormanchamber.org/directory/Contact/PYE7ok2P|http://www.us565.alphagraphics.com/|
AT&T North Carolina|//business.lakenormanchamber.org/directory/Details/at-t-north-carolina-1574075|||||(704) 892-8995|https://business.lakenormanchamber.org/directory/Contact/PoXe1MaL|http://www.att.com/|
Auto Glass Experts|//business.lakenormanchamber.org/directory/Details/auto-glass-experts-2073118|15503 Old Statesville Road|Huntersville|NC|28078|(704) 906 6768|https://business.lakenormanchamber.org/directory/Contact/P1New3ZL|http://www.theautoglassexperts.com/|
Binswanger Glass|//business.lakenormanchamber.org/directory/Details/binswanger-glass-1573999|3646 N. Graham Street|Charlotte|NC|28206|(704) 626-2519|https://business.lakenormanchamber.org/directory/Contact/PeZxlZJL|https://www.binswangerglass.com/|
Boardwalk Staffing, LLC|//business.lakenormanchamber.org/directory/Details/boardwalk-staffing-llc-3437847|224 Westinghouse Boulevard Suite 601|Charlotte|NC|28273|(704) 919-0750|https://business.lakenormanchamber.org/directory/Contact/p5VZYAnP|http://boardwalkstaffing.com/|
BoatYard Lake Norman|//business.lakenormanchamber.org/directory/Details/boatyard-lake-norman-1573685|18418 Statesville Road|Cornelius|NC|28031|(704) 997-6069|https://business.lakenormanchamber.org/directory/Contact/LyE6wQBL|https://www.bydlkn.com/|
BOUKCatering|//business.lakenormanchamber.org/directory/Details/boukcatering-2029532|PO BOX 698|Cornelius|NC|28031|704-584-9132|https://business.lakenormanchamber.org/directory/Contact/LEm2Zx1L||
Bringewatt, Wolter & Snover, PLLC|//business.lakenormanchamber.org/directory/Details/bringewatt-wolter-snover-pllc-1573792|P.O. Box 453|Davidson|NC|28036||https://business.lakenormanchamber.org/directory/Contact/rXq71Bvp|https://www.bwsnclaw.com/|
Capital Analytics Associates|//business.lakenormanchamber.org/directory/Details/capital-analytics-associates-2055539|||||980-272-0690|https://business.lakenormanchamber.org/directory/Contact/p8AK3ovP|https://www.capitalanalyticsassociates.com/invest-charlotte/|
Carolina Underwriters|//business.lakenormanchamber.org/directory/Details/carolina-underwriters-1573620|8600 Sam Furr Rd, Suite 150|Huntersville|NC|28078|(704) 849-8080|https://business.lakenormanchamber.org/directory/Contact/pBD4EZoL|http://www.carolinaunderwriters.net/|
Compleat Rehab & Sports Therapy|//business.lakenormanchamber.org/directory/Details/compleat-rehab-sports-therapy-3519833|16409 Northcross Drive Suite G|Huntersville|NC|28078|(980) 495-4940|https://business.lakenormanchamber.org/directory/Contact/Lz97X08P|http://www.compleatrehab.com/|
Cornerstone Wealth Group|//business.lakenormanchamber.org/directory/Details/cornerstone-wealth-group-1574203|16810 Kenton Drive Suite 200|Huntersville|NC|28078|(704) 987-3410|https://business.lakenormanchamber.org/directory/Contact/P3BDmDlp|http://www.cwgadvisors.com/|
Dermatology Group of the Carolinas|//business.lakenormanchamber.org/directory/Details/dermatology-group-of-the-carolinas-1573643|9735 Kincey Avenue, Suite 102|Huntersville|NC|28078|704-784-5901  X3072||http://www.dermgroupnc.com/|
Dogwood Family Dentistry|//business.lakenormanchamber.org/directory/Details/dogwood-family-dentistry-2482951|455 S Main St #200|Davidson|NC|28036|704-459-2794|https://business.lakenormanchamber.org/directory/Contact/PeX8vxAp|http://dwfamilydental.com/|
Dutchman's Casual Living|//business.lakenormanchamber.org/directory/Details/dutchman-s-casual-living-3172327|19441 Old Jetton Rd|Cornelius|NC|28031|7048960007|https://business.lakenormanchamber.org/directory/Contact/P36O8Nlp|http://dutchmanscasualliving.com/|
Fin & Fino Birkdale|//business.lakenormanchamber.org/directory/Details/fin-fino-birkdale-1573960|8630 Lindholm Drive Suite 1A|Huntersville|NC|28078|(704) 987-1779|https://business.lakenormanchamber.org/directory/Contact/PYE736OP|http://www.rarerootshospitality.com/|
First Bank - Cornelius|//business.lakenormanchamber.org/directory/Details/first-bank-cornelius-1574258|401 Gilead Road|Huntersville|NC|28031|7048751642|https://business.lakenormanchamber.org/directory/Contact/PYE7oQ1P|http://www.selectbank.com/|
Focus Office Suites|//business.lakenormanchamber.org/directory/Details/focus-office-suites-1574211|9541 Julian Clark Avenue|Huntersville|NC|28078|(704) 912-2092|https://business.lakenormanchamber.org/directory/Contact/LEq4zNqL|http://www.focusofficesuites.com/|
Grant Gaither|//business.lakenormanchamber.org/directory/Details/grant-gaither-1574165|132 Court Street|Statesville|NC|28677|(704) 380-3838|https://business.lakenormanchamber.org/directory/Contact/PeZxl3AL|https://gryphoscreative.com/|Gryphos Creative Agency a creative group that provides advertising, graphic design, and fresh ideas to move companies forward.
GetREAL With Alcohol|//business.lakenormanchamber.org/directory/Details/getreal-with-alcohol-2995541|172 Williamson Rd. Unit 3732|Mooresville|NC|28117|8032304661|https://business.lakenormanchamber.org/directory/Contact/rZAoQw3L|http://www.getrealwithalcohol.com/|
Hendrick Luxury Automall @ Northlake|//business.lakenormanchamber.org/directory/Details/hendrick-luxury-automall-northlake-1573849|10720 Northlake Auto Plaza Blvd.|Charlotte|NC|28269|(704) 379-4000|https://business.lakenormanchamber.org/directory/Contact/pMw71z9L|http://www.hendricklexus.com/|
Hilton Garden Inn, Charlotte, Mooresville|//business.lakenormanchamber.org/directory/Details/hilton-garden-inn-charlotte-mooresville-1573823|159 Gateway Blvd.|Mooresville|NC|28117|(704) 663-6468|https://business.lakenormanchamber.org/directory/Contact/rZRmojNr|https://www.hilton.com/en/hilton-garden-inn/|
HomeSmiles Charlotte|//business.lakenormanchamber.org/directory/Details/homesmiles-charlotte-3392453|9408 Rosalyn Glen Road|Cornelius|NC|28031|(704) 912-7677|https://business.lakenormanchamber.org/directory/Contact/rAkDlZNP|http://northcharlotte.homesmiles.com/|
Huntersville Ford|//business.lakenormanchamber.org/directory/Details/huntersville-ford-1574088|13825 Statesville Road|Huntersville|NC|28070|(704) 675-7402|https://business.lakenormanchamber.org/directory/Contact/pG94alvL|https://www.huntersvilleford.com/|
I-77 Mobility Partners LLC|//business.lakenormanchamber.org/directory/Details/i-77-mobility-partners-llc-2148117|8015 W. WT Harris Blvd|Charlotte|NC|28216|704.737.2258|https://business.lakenormanchamber.org/directory/Contact/P2EW7Q1p|http://www.i77express.com/|
Keller Technology Corporation|//business.lakenormanchamber.org/directory/Details/keller-technology-corporation-1574001|11905 Vanstory Drive|Huntersville|NC|28078|(704) 659-7112|https://business.lakenormanchamber.org/directory/Contact/Lb3Nb3Zr|http://www.kellertechnology.com/|
Lake Norman Chrysler Dodge Jeep Ram|//business.lakenormanchamber.org/directory/Details/lake-norman-chrysler-dodge-jeep-ram-1574085|20700 Torrence Chapel Road|Cornelius|NC|28031|(704) 896-3800|https://business.lakenormanchamber.org/directory/Contact/PNa91yVp|http://www.lakenormanchrysler.com/|
Lake Norman Regional Medical Center|//business.lakenormanchamber.org/directory/Details/lake-norman-regional-medical-center-1574083|171 Fairview Road|Mooresville|NC|28117|(704) 660-4000|https://business.lakenormanchamber.org/directory/Contact/PKVloQgp|https://www.lnrmc.com/|
Mecklenburg County Government Office of Economic Development|//business.lakenormanchamber.org/directory/Details/mecklenburg-county-government-office-of-economic-development-3493152|600 East Fourth Street Suite 226|Charlotte|NC|28202|(980) 314-2859|https://business.lakenormanchamber.org/directory/Contact/pgwm2bwp|http://oed.mecknc.gov/|business services, consulting, access to capital, certifications,
Metrolina Greenhouses, Inc.|//business.lakenormanchamber.org/directory/Details/metrolina-greenhouses-inc-1574080|16400 Huntersville Concord Road|Huntersville|NC|28078-6650|(704) 875-1371||http://www.metrolinagreenhouses.com/|
Nicole M. Chabot|//business.lakenormanchamber.org/directory/Details/nicole-m-chabot-3414630|PO Box 768834|Roswell|GA|30076|(470) 889-8419|https://business.lakenormanchamber.org/directory/Contact/r4Qq2Yop|http://www.neighborhoodtv.com/|
NorthStar Dentistry for Adults|//business.lakenormanchamber.org/directory/Details/northstar-dentistry-for-adults-1573704|9735 Kincey Avenue, Suite 206|Huntersville|NC|28078|(704) 450-6500|https://business.lakenormanchamber.org/directory/Contact/p8EYXBxP|http://www.northstardentistryforadults.com/|
Novant Health Huntersville Medical Center|//business.lakenormanchamber.org/directory/Details/novant-health-huntersville-medical-center-1573963|10030 Gilead Road|Huntersville|NC|28078|(704) 316-4003|https://business.lakenormanchamber.org/directory/Contact/pR17gBYr|http://www.novanthealth.com/|
On The Nines Bistro|//business.lakenormanchamber.org/directory/Details/on-the-nines-bistro-2029543|205 Golf Course Dr|Mooresville|NC|28115|704-799-4240|https://business.lakenormanchamber.org/directory/Contact/rXVaOyMP||
Randy Marion Automotive Group|//business.lakenormanchamber.org/directory/Details/randy-marion-automotive-group-1574048|220 W. Plaza Drive|Mooresville|NC|28117|(704) 664-3303|https://business.lakenormanchamber.org/directory/Contact/LEq4z11L|https://www.randymarion.com/|
Right at Home|//business.lakenormanchamber.org/directory/Details/right-at-home-3325592|13801 Reese Blvd W Suite 330|Huntersville|NC|28078|7042301305|https://business.lakenormanchamber.org/directory/Contact/P22088oP|http://www.rah-nc.com/|
Skinsational Aesthetics|//business.lakenormanchamber.org/directory/Details/skinsational-aesthetics-3490507|7472 Waterside Loop Road|Denver|NC|28037|(980) 525-9013|https://business.lakenormanchamber.org/directory/Contact/LE13RXQL|http://www.skinsationalaesthetics.org/|
Southern Tide|//business.lakenormanchamber.org/directory/Details/southern-tide-3172329|16925 Birkdale Commons Parkway Suite B Unit 25|Huntersville|NC|28078|(704) 594-4570|https://business.lakenormanchamber.org/directory/Contact/p92OamxP|http://southerntide.com/|
Spare Time at Lake Norman|//business.lakenormanchamber.org/directory/Details/spare-time-at-lake-norman-1574040|16317 Statesville Road|Huntersville|NC|28078|(704) 892-7177|https://business.lakenormanchamber.org/directory/Contact/p07em4Br|http://www.sparetimeentertainment.com/|
TDS Telecom|//business.lakenormanchamber.org/directory/Details/tds-telecom-1573896|435 S. Broad Street|Mooresville|NC|28115|(704) 351-5644|https://business.lakenormanchamber.org/directory/Contact/r6V4mmer|http://www.ourtds.com/|
The Peninsula Club|//business.lakenormanchamber.org/directory/Details/the-peninsula-club-1911753|19101 Peninsula Club Drive|Cornelius|NC|28031|(704) 896-7080|https://business.lakenormanchamber.org/directory/Contact/pG94aK3L||
The Range At Lake Norman|//business.lakenormanchamber.org/directory/Details/the-range-at-lake-norman-1573857|10913 Bailey Road|Cornelius|NC|28031|(704) 895-3155|https://business.lakenormanchamber.org/directory/Contact/P2JVm7NP|http://www.therangeatlakenorman.com/|The regions premier indoor shooting range
The Tovar Group, LLC|//business.lakenormanchamber.org/directory/Details/the-tovar-group-llc-1573755|17729 Spinnakers Reach Drive|Cornelius|NC|28031|(704) 905-6964|https://business.lakenormanchamber.org/directory/Contact/P3BDm1jp|http://www.thetovargroup.com/|
The Venues at Langtree|//business.lakenormanchamber.org/directory/Details/the-venues-at-langtree-2029574|554 Langtree Rd|Mooresville|NC|28117|704-897-7232|https://business.lakenormanchamber.org/directory/Contact/rZzeOMNr|https://www.venuesatlangtree.com/|
United Community Bank|//business.lakenormanchamber.org/directory/Details/united-community-bank-1573931|19510 Jetton Road|Cornelius|NC|28031|(704) 439-4343||https://www.ucbi.com/|
SimplyCreative Agency|//business.lakenormanchamber.org/directory/Details/simplycreative-agency-3317838|330 Camp Rd. #B91|Charlotte|NC|28206|(704) 380-2541|https://business.lakenormanchamber.org/directory/Contact/Lzw0QK5r|https://simplycreativeagency.com/|
HyperSloth.Media|//business.lakenormanchamber.org/directory/Details/hypersloth-media-3132747|122 Slalom st|Statesville|NC|28677|7046586390|https://business.lakenormanchamber.org/directory/Contact/Lx5ZnWer|http://hypersloth.media/|
"Renee Ollis Real Estate | eXp Realty"|//business.lakenormanchamber.org/directory/Details/renee-ollis-real-estate-exp-realty-2336449|7809 Oak Haven Lane|Stanley|NC|28164|704-240-0999|https://business.lakenormanchamber.org/directory/Contact/P2DJyD1r|http://www.reneeollis.com/|
Fire House Casual Living is now VIRIDIEN|//business.lakenormanchamber.org/directory/Details/fire-house-casual-living-is-now-viridien-3244141|7025 Smith Corners Blvd|Charlotte|NC|28269|704-598-8787|https://business.lakenormanchamber.org/directory/Contact/p049Qqep|https://viridien.com/|
Customers Bank|//business.lakenormanchamber.org/directory/Details/customers-bank-2958446|6000 Fairview Road Suite 1200|Charlotte|NC|28210|(484) 957-7783|https://business.lakenormanchamber.org/directory/Contact/rkNmXOeL|http://www.customersbank.com/|
Breathing Room NC|//business.lakenormanchamber.org/directory/Details/breathing-room-nc-2892367||Mooresville|NC|28117|703-597-3328|https://business.lakenormanchamber.org/directory/Contact/pQVWRmyP|http://www.breathingroomnc.com/|
Enrich UR Health - Paula Denoncourt - Holistic Health Consultant/Business Funding Agent|//business.lakenormanchamber.org/directory/Details/enrich-ur-health-paula-denoncourt-holistic-health-consultant-business-funding-agent-1574241|206 Northwest Drive|Davidson|NC|28036|(508) 330-9665|https://business.lakenormanchamber.org/directory/Contact/PKVloEZp|https://pensight.com/x/enrichurhealth|
“Unique Celebrations”|//business.lakenormanchamber.org/directory/Details/unique-celebrations-3298025|121 Pink Orchard Drive|Mooresville|NC|28115|7046049548|https://business.lakenormanchamber.org/directory/Contact/LwwEGZxL|http://www.uniquecelebrationsbym.com/|
100% Chiropractic Lake Norman|//business.lakenormanchamber.org/directory/Details/100-chiropractic-lake-norman-3363338|19722 One Norman Drive Suite 210|Cornelius|NC|28031|(980) 689-2499|https://business.lakenormanchamber.org/directory/Contact/rOO7ogMr|https://www.100percentchiropractic.com/|
131 Main, LLC|//business.lakenormanchamber.org/directory/Details/131-main-llc-1573947|17830 N. Statesville Road|Cornelius|NC|28031|(704) 896-0131|https://business.lakenormanchamber.org/directory/Contact/P3BD4wlp|http://www.131-main.com/|
360 Painting Lake Norman|//business.lakenormanchamber.org/directory/Details/360-painting-lake-norman-2144414|14316 Reese Blvd W Ste B-821|Huntersville|NC|28078|(704) 322-4724|https://business.lakenormanchamber.org/directory/Contact/LzBxvJ5L|http://www.360painting.com/lakenorman|
52CEOS|//business.lakenormanchamber.org/directory/Details/52ceos-2921760|10017 Tallent Lane|Huntersville|NC|28078|8609781727|https://business.lakenormanchamber.org/directory/Contact/P36A6Wbp|http://www.52ceos.com/|
76 FENCE of North Charlotte|//business.lakenormanchamber.org/directory/Details/76-fence-of-north-charlotte-3751539|20850 Catawba Avenue|Cornelius|NC|28031|(980) 404-9876|https://business.lakenormanchamber.org/directory/Contact/rJDeabbP|http://www.76fence.com/charlotte|
760 Craft Works|//business.lakenormanchamber.org/directory/Details/760-craft-works-2986600|100 Gilead Road|Huntersville|NC|28078|7042745216|https://business.lakenormanchamber.org/directory/Contact/PNZEb2OP|http://www.760craftworks.com/|
A-1 Vacuum Solutions LLC|//business.lakenormanchamber.org/directory/Details/a-1-vacuum-solutions-llc-1573843|9715  Sam Furr Road|Huntersville|NC|28078|(704) 895-5454|https://business.lakenormanchamber.org/directory/Contact/pQZ9o23P|http://www.a1vacs.com/|
A4 Wealth Advisors LLC|//business.lakenormanchamber.org/directory/Details/a4-wealth-advisors-llc-3134796|16140 Northcross Dr|Huntersville|NC|28078|7048970267|https://business.lakenormanchamber.org/directory/Contact/P7vx4nOp|http://a4wealth.com/|
Aaron Libby Photography, LLC|//business.lakenormanchamber.org/directory/Details/aaron-libby-photography-llc-3808213|19109 West Catawba Avenue Suite 213|Cornelius|NC|28031||https://business.lakenormanchamber.org/directory/Contact/rkVajBXL|http://www.aaronlibby.com/|
Abiding Grace LLC|//business.lakenormanchamber.org/directory/Details/abiding-grace-llc-1830193|||||7043408400|https://business.lakenormanchamber.org/directory/Contact/r4lZvKxr||
Abirached Team at CrossCountry Mortgage|//business.lakenormanchamber.org/directory/Details/abirached-team-at-crosscountry-mortgage-3495238|19620 W Catawba Ave #202|Cornelius|NC|28031|7047793826|https://business.lakenormanchamber.org/directory/Contact/P7D1KVmL|http://crosscountrymortgage.com/Abirached-Team/Pam-Abirached|
ABNO Group|//business.lakenormanchamber.org/directory/Details/abno-group-1657583|9820 Northcross Center Court|Huntersville|NC|28078|(704) 655.1999|https://business.lakenormanchamber.org/directory/Contact/pg40RldP|http://www.abnogroup.com/|
Absolute Hope Foundation|//business.lakenormanchamber.org/directory/Details/absolute-hope-foundation-3084115|20468 Chartwell Center Drive suite M|Cornelius|NC|28031|7047875514|https://business.lakenormanchamber.org/directory/Contact/pGnR6oZr|http://www.absolutehopefoundation.com/|
ABT Payments, LLC - Maria Thomas|//business.lakenormanchamber.org/directory/Details/abt-payments-llc-maria-thomas-1574309|||||(704) 754-7804|https://business.lakenormanchamber.org/directory/Contact/P12Zny4L|http://www.abtpayments.com/|
Accelerated Deliveries - Lake Normans #1 Trusted Household Movers|//business.lakenormanchamber.org/directory/Details/accelerated-deliveries-lake-normans-1-trusted-household-movers-1574130|14940 Brown Mill Rd Suite 11|Huntersville|NC|28078|(980) 257-4515|https://business.lakenormanchamber.org/directory/Contact/P7EKmWjr|https://www.accelerateddeliveries.com/|
Accessible Home Care of Greater Charlotte|//business.lakenormanchamber.org/directory/Details/accessible-home-care-of-greater-charlotte-3515004|130 Ostwalt Amity Road, Suite C|Troutman|NC|28166|(704) 508-1595|https://business.lakenormanchamber.org/directory/Contact/P7DzOg8L|http://www.accessiblehomehealthcare.com/greater-charlotte|
Accounting and Tax|//business.lakenormanchamber.org/directory/Details/accounting-and-tax-2258665|249 Williamson Rd Ste 200|Mooresville|NC|28117|980-447-9954|https://business.lakenormanchamber.org/directory/Contact/r4Yv0g1p|http://jmclegacygroup.com/|
Ace Handyman Services Lake Norman|//business.lakenormanchamber.org/directory/Details/ace-handyman-services-lake-norman-3622475|125 East Plaza Drive Suite 107|Mooresville|NC|28115|(704) 765-6800|https://business.lakenormanchamber.org/directory/Contact/pGAVK5vL|http://www.acehandymanservices.com/offices/lake-norman|
Ace Handyman Services, Lake Norman|//business.lakenormanchamber.org/directory/Details/ace-handyman-services-lake-norman-1574313|125 E. Plaza Drive, Suite 116|Mooresville|NC|28115|(704) 765-6800|https://business.lakenormanchamber.org/directory/Contact/r6V4myJr|https://www.acehandymanservices.com/offices/lake-norman/|
Ace Hardware|//business.lakenormanchamber.org/directory/Details/ace-hardware-1573969|20510 N. Main Street|Cornelius|NC|28031|(704) 892-7651|https://business.lakenormanchamber.org/directory/Contact/r6V4mlJr|https://www.acehardware.com/store-details/11311|
ActionCOACH - Lake Norman|//business.lakenormanchamber.org/directory/Details/actioncoach-lake-norman-1573776|P.O.Box 4361|Mooresville|NC|28117|(704) 400-4358|https://business.lakenormanchamber.org/directory/Contact/PeZxlR9L|http://www.actioncoachlakenorman.com/|
Active Waste Solutions|//business.lakenormanchamber.org/directory/Details/active-waste-solutions-3049590|P.O. Box 10|Waxhaw|NC|28173|(704) 303-3234|https://business.lakenormanchamber.org/directory/Contact/pQV97MXP|http://activewastesolutions.com/|
Ada Jenkins Center|//business.lakenormanchamber.org/directory/Details/ada-jenkins-center-1574006|212 Gamble Street|Davidson|NC|28036|(704) 896-0471||https://www.adajenkins.org/|
Adaptive HR LLC|//business.lakenormanchamber.org/directory/Details/adaptive-hr-llc-2834048|19817 Sandyedge Dr|Cornelius|NC|28031|7042758745|https://business.lakenormanchamber.org/directory/Contact/p5eDX30p|http://www.adaptive-hr.com/|
Adjusting The World Chiropractic|//business.lakenormanchamber.org/directory/Details/adjusting-the-world-chiropractic-1573919|16419-C Northcross  Drive|Huntersville|NC|28078|(704) 895-7227||http://www.adjustingtheworld.com/|
Adkins Law PLLC|//business.lakenormanchamber.org/directory/Details/adkins-law-pllc-1573765|9620 Sherrill Estates Road|Huntersville|NC|28078|(704) 274-5677|https://business.lakenormanchamber.org/directory/Contact/pR179Z9r|http://www.huntersvillelawyer.com/|
Adobe|//business.lakenormanchamber.org/directory/Details/adobe-2151091|345 Park Avenue|San Jose|CA|95110-2704||https://business.lakenormanchamber.org/directory/Contact/LyOeaDxp|https://www.adobe.com/acrobat/online.html|
Adore Aesthetics and Wellness|//business.lakenormanchamber.org/directory/Details/adore-aesthetics-and-wellness-3822678|508 Williamson Road Suite 100|Mooresville|NC|28117|(704) 999-4089|https://business.lakenormanchamber.org/directory/Contact/Pe16daOP|http://adoreaestheticwellness.com/|
Advanced Wealth Strategies, Inc.|//business.lakenormanchamber.org/directory/Details/advanced-wealth-strategies-inc-1573783|19520 W. Catawba Avenue, Suite 313|Cornelius|NC|28031|(704) 765-3653|https://business.lakenormanchamber.org/directory/Contact/PoXe1BZL|http://www.planwithaws.com/|
AFC Urgent Care Huntersville|//business.lakenormanchamber.org/directory/Details/afc-urgent-care-huntersville-3513637|14221 Boren Street|Huntersville|NC|28078|(980) 306-5911|https://business.lakenormanchamber.org/directory/Contact/Lbd25mNp|http://afcurgentcare.com/huntersville-nc|
